,Condition,Condition_Desc,Price,Model_Year,Mileage,Exterior_Color,Make,Model,Type,Feedback_Perc,N_Reviews,Seller_Status,Auction,Buy_Now,num_pos_words,sentiment,uses_excl,all_caps,has_warranty,review_polarity,review_positivity
1,Used,mint!!! very low miles,11412,2013,16000,black,Harley-Davidson,Touring,Cruiser,8.1,2427,Private Seller,TRUE,FALSE,2,1,TRUE,0,FALSE,0,0.39
2,Used,Perfect condition,17200,2016,60,black,Harley-Davidson,Touring,Sport Touring,100,657,Private Seller,TRUE,TRUE,1,1,FALSE,0,TRUE,1,1
3,Used,CLEAN TITLE   READY TO RIDE HOME,6575,2009,33142,red,Harley-Davidson,Touring,Touring,100,2920,other,TRUE,FALSE,1,1,FALSE,1,FALSE,0.283333333,0.6
4,Used,NA,10000,2012,17800,blue,Harley-Davidson,Touring,Touring,100,271,Owner,TRUE,TRUE,0,0,FALSE,0,FALSE,0,0
5,Used,NA,24900,2010,5548,red,Harley-Davidson,Touring,Touring,9.8,6229,other,TRUE,FALSE,0,0,FALSE,0,FALSE,0,0
6,Used,NA,1400,1975,17868,black,Harley-Davidson,Sportster,Sportster,9.7,1159,Private Seller,TRUE,FALSE,0,0,FALSE,0,FALSE,0,0
7,Used,NA,2125,1978,30,other,Harley-Davidson,Touring,Cruiser,9.7,1159,Private Seller,TRUE,FALSE,0,0,FALSE,0,FALSE,0,0
8,Used,NA,11100,2011,5800,black,Harley-Davidson,Touring,Touring,100,83,Private Seller,TRUE,FALSE,0,0,FALSE,0,FALSE,0,0
9,Used,NA,1125,2002,55000,red,Harley-Davidson,Other,Touring,100,128,Private Seller,TRUE,FALSE,0,0,FALSE,0,FALSE,0,0
10,Used,"Overall, this bike is in good condition for it&#039;s aged. It&#039;s clearly been properly stored and",3550,2000,57898,red,Harley-Davidson,Touring,Cruiser,100,10701,other,TRUE,FALSE,1,1,FALSE,0,FALSE,0.14,0.296666667
11,Used,NA,9000,2010,7792,red,Harley-Davidson,Touring,Touring,100,299,Private Seller,TRUE,FALSE,0,0,FALSE,0,FALSE,0,0
12,Used,NA,8100,1973,9305,white,Harley-Davidson,Other,Trike,100,300,Private Seller,TRUE,FALSE,0,0,FALSE,0,FALSE,0,0
13,Used,Absolutely perfect condition,14000,2016,1125,blue,Harley-Davidson,Softail,Cruiser,100,170,Private Seller,TRUE,FALSE,1,1,FALSE,0,TRUE,1,1
14,Used,NA,20000,2015,5500,red,Harley-Davidson,Touring,Touring,100,66,Private Seller,FALSE,TRUE,0,0,FALSE,0,TRUE,0,0
15,New,NA,13000,2016,250,black,Harley-Davidson,Softail,Cruiser,100,181,Private Seller,TRUE,TRUE,0,0,FALSE,0,FALSE,0,0
16,New,NA,10900,2017,140,black,Harley-Davidson,Touring,Sport Bike,100,3172,Private Seller,FALSE,TRUE,0,0,FALSE,0,TRUE,0,0
17,Used,IN AWESOME CONDITION. SUPER RARE.  JUST SERVICED.  NEW REAR TIRE.  SPRINGERS ARE IN HIGH DEMAND GET,9999,2005,25405,black,Harley-Davidson,Softail,CRUISER,100,283,other,TRUE,FALSE,4,1,FALSE,0,FALSE,0.385939394,0.712242424
18,Used,NA,26500,2016,13089,black,Harley-Davidson,Touring,Touring,100,6,Private Seller,FALSE,TRUE,0,0,FALSE,0,FALSE,0,0
19,Used,NA,9850,2003,23546,blue,Harley-Davidson,Touring,Touring,100,12,Private Seller,TRUE,FALSE,0,0,FALSE,0,FALSE,0,0
20,Used,NA,45900,2009,40000,red,Harley-Davidson,Touring,Touring,100,199,Private Seller,FALSE,TRUE,0,0,FALSE,0,FALSE,0,0
21,Used,Almost new 2009 Harley-Davidson FLHR  Road  King     Only 3769 miles,10600,2009,3769,red,Harley-Davidson,Touring,Touring,100,175,Private Seller,FALSE,TRUE,1,1,FALSE,0,FALSE,0.068181818,0.727272727
22,Used,*2008 Harley Davidson Rocker C *Chrome Chrome and more Chrome*Alligator Bob Custom Saddle w/custom,12000,2008,8700,other,Harley-Davidson,Softail,Custom,100,11,Private Seller,TRUE,FALSE,0,0,FALSE,0,FALSE,0.5,0.5
23,Used,Very clean and well maintained,25000,2010,15000,other,Harley-Davidson,Touring,Cruiser,100,18,Private Seller,TRUE,TRUE,2,1,FALSE,0,FALSE,0.476666667,0.91
24,Used,NA,20000,2014,2900,blue,Harley-Davidson,Touring,Touring,100,142,Private Seller,TRUE,FALSE,0,0,FALSE,0,FALSE,0,0
25,Used,NA,8500,2008,10319,black,Harley-Davidson,Touring,Touring,100,324,Private Seller,FALSE,TRUE,0,0,FALSE,0,FALSE,0,0
26,Used,NA,18000,2010,29544,blue,Harley-Davidson,Touring,Touring,100,111,Private Seller,FALSE,TRUE,0,0,FALSE,0,FALSE,0,0
27,Used,No Reserve!,6700,2004,8950,other,Harley-Davidson,Softail,Sport Touring,100,126,Private Seller,TRUE,FALSE,0,0,TRUE,0,FALSE,0,0
28,Used,NA,18000,2015,5600,black,Harley-Davidson,Touring,Touring,100,63,Private Seller,TRUE,FALSE,0,0,FALSE,0,TRUE,0,0
29,Used,Dent and scratch free. Paint and chrome in excellent condition. Slight normal bluing on pipes.,5000,2003,1350,black,Harley-Davidson,Sportster,Cruiser,100,37,Private Seller,FALSE,TRUE,2,1,FALSE,0,FALSE,0.345833333,0.654166667
30,Used,Excellent condition gently used. Adult driven,13200,2011,15400,black,Harley-Davidson,Touring,Touring,100,478,Private Seller,TRUE,FALSE,2,1,FALSE,0,FALSE,0.433333333,0.7
