,X,Condition,Price,Model_Year,Mileage,Exterior_Color,Make,Type,Feedback_Perc,N_Reviews,Seller_Status,Auction,Buy_Now,num_pos_words,uses_excl,all_caps,has_warranty,review_polarity,review_positivity
1,1,Used,7344.99,2013,16000,black,Harley-Davidson,Cruiser,8.1,2427,Private Seller,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,0.39
2,2,Used,13508.03,2016,60,black,Harley-Davidson,Touring,100,657,Private Seller,TRUE,TRUE,1,FALSE,FALSE,TRUE,1,1
3,3,Used,6472.3,2009,33142,red,Harley-Davidson,Touring,100,2920,other,TRUE,FALSE,1,FALSE,TRUE,FALSE,0.283333333,0.6
4,4,Used,10892.13,2012,17800,blue,Harley-Davidson,Touring,100,271,Owner,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,0
5,5,Used,18531.79,2010,5548,red,Harley-Davidson,Touring,9.8,6229,other,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
6,6,Used,1522.09,1975,17868,black,Harley-Davidson,Other,9.7,1159,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
7,7,Used,2187,1978,30,other,Harley-Davidson,Cruiser,9.7,1159,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
8,8,Used,12111.34,2011,5800,black,Harley-Davidson,Touring,100,83,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
9,9,Used,1098.35,2002,55000,red,Harley-Davidson,Touring,100,128,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
10,10,Used,3593.96,2000,57898,red,Harley-Davidson,Cruiser,100,10701,other,TRUE,FALSE,1,FALSE,FALSE,FALSE,0.14,0.296666667
11,11,Used,9796.39,2010,7792,red,Harley-Davidson,Touring,100,299,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
12,12,Used,8730.62,1973,9305,white,Harley-Davidson,Trike,100,300,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
13,13,Used,10934.18,2016,1125,blue,Harley-Davidson,Cruiser,100,170,Private Seller,TRUE,FALSE,1,FALSE,FALSE,TRUE,1,1
14,14,Used,26309.87,2015,5500,red,Harley-Davidson,Touring,100,66,Private Seller,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
15,15,New,14242.79,2016,250,black,Harley-Davidson,Cruiser,100,181,Private Seller,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,0
16,16,New,14338.58,2017,140,black,Harley-Davidson,Sport Bike,100,3172,Private Seller,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
17,17,Used,9711.79,2005,25405,black,Harley-Davidson,Cruiser,100,283,other,TRUE,FALSE,4,FALSE,FALSE,FALSE,0.385939394,0.712242424
18,18,Used,29053.2,2016,13089,black,Harley-Davidson,Touring,100,6,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
19,19,Used,10706.33,2003,23546,blue,Harley-Davidson,Touring,100,12,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
20,20,Used,50368.03,2009,40000,red,Harley-Davidson,Touring,100,199,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
21,21,Used,10300.38,2009,3769,red,Harley-Davidson,Touring,100,175,Private Seller,FALSE,TRUE,1,FALSE,FALSE,FALSE,0.068181818,0.727272727
22,22,Used,12109.44,2008,8700,other,Harley-Davidson,Custom,100,11,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0.5,0.5
23,23,Used,23651.13,2010,15000,other,Harley-Davidson,Cruiser,100,18,Private Seller,TRUE,TRUE,2,FALSE,FALSE,FALSE,0.476666667,0.91
24,24,Used,21914.28,2014,2900,blue,Harley-Davidson,Touring,100,142,Private Seller,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
25,25,Used,9239.58,2008,10319,black,Harley-Davidson,Touring,100,324,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
26,26,Used,19683.06,2010,29544,blue,Harley-Davidson,Touring,100,111,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
27,27,Used,6516.01,2004,8950,other,Harley-Davidson,Touring,100,126,Private Seller,TRUE,FALSE,0,TRUE,FALSE,FALSE,0,0
28,28,Used,23669.69,2015,5600,black,Harley-Davidson,Touring,100,63,Private Seller,TRUE,FALSE,0,FALSE,FALSE,TRUE,0,0
29,29,Used,4870.05,2003,1350,black,Harley-Davidson,Cruiser,100,37,Private Seller,FALSE,TRUE,2,FALSE,FALSE,FALSE,0.345833333,0.654166667
30,30,Used,12898.36,2011,15400,black,Harley-Davidson,Touring,100,478,Private Seller,TRUE,FALSE,2,FALSE,FALSE,FALSE,0.433333333,0.7
31,31,Used,7390.45,2012,1533,black,Harley-Davidson,Touring,100,79,other,FALSE,TRUE,1,FALSE,FALSE,FALSE,1,1
32,32,Used,3446.61,2003,22896,blue,Harley-Davidson,Cruiser,100,109,Private Seller,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,0
33,33,Used,5186.88,2012,24742,black,Harley-Davidson,Touring,100,10701,other,TRUE,FALSE,1,FALSE,FALSE,FALSE,0.6,0.95
34,34,Used,23420.87,2016,1500,black,Harley-Davidson,Touring,100,33,Private Seller,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0
35,35,Used,9213.6,2003,51000,black,Harley-Davidson,Touring,100,124,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
36,36,Used,25536.82,2013,5184,blue,Harley-Davidson,Touring,100,1645,other,FALSE,TRUE,1,FALSE,FALSE,FALSE,0.136363636,0.454545455
37,37,Used,7790.68,2005,37500,other,Harley-Davidson,Touring,100,7,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
38,38,Used,11454.05,2013,6599,black,Harley-Davidson,Touring,100,221,other,TRUE,TRUE,2,FALSE,TRUE,FALSE,0,0
39,39,Used,921.44,1964,999999,black,Harley-Davidson,Dual-Purpose,9.9,42714,other,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0
40,40,Used,9831.22,2008,39242,red,Harley-Davidson,Touring,100,4,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
41,41,Used,10890.42,2011,10000,black,Harley-Davidson,Touring,100,97,Private Seller,TRUE,TRUE,1,TRUE,FALSE,FALSE,1,0.75
42,42,Used,16477.72,2006,37600,other,Harley-Davidson,Touring,4.7,3061,Private Seller,FALSE,TRUE,1,FALSE,TRUE,FALSE,0.1,0.1
43,43,Used,38289.55,2014,12649,other,Harley-Davidson,Custom,100,238,Private Seller,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,0
44,44,Used,4870.05,2003,1350,black,Harley-Davidson,Cruiser,100,37,Private Seller,FALSE,TRUE,2,FALSE,FALSE,FALSE,0.345833333,0.654166667
45,45,Used,5249.27,2005,13000,other,Harley-Davidson,Standard,9.6,3552,Private Seller,FALSE,TRUE,1,FALSE,FALSE,FALSE,0,0
