"","Condition","Price","Model_Year","Mileage","Exterior_Color","Make","Type","Feedback_Perc","N_Reviews","Seller_Status","Auction","Buy_Now","num_pos_words","uses_excl","all_caps","has_warranty","review_polarity","review_positivity"
"1962","Used",1739.18,1970,2114,"green","Honda","Dual-Purpose",100,155,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,0.6875,0.875
"3021","Used",7371.53,2017,210,"black","Harley-Davidson","Gasoline",100,532,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4797","Used",11424.32,2014,644,"white","Kawasaki","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4986","Used",24105.03,2016,9772,"black","Harley-Davidson","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3320","Used",13971.91,2010,12200,"black","Victory","Touring",100,547,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"326","Used",11939.98,2009,7350,"black","Harley-Davidson","Other",100,58,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"1084","Used",2388.73,1975,52711,"blue","Honda","Standard",100,49,"Private Seller",TRUE,FALSE,2,FALSE,0,FALSE,1,1
"929","New",8043.94,2017,0,"other","Yamaha","Sport Bike",9.2,5605,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"3624","New",15366.1,2014,1,"black","Yamaha","Touring",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2021","Used",5342.71,1995,74500,"white","Honda","Cruiser",100,740,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2617","Used",4481.85,2006,14500,"grey","Suzuki","Cruiser",100,172,"Private Seller",FALSE,TRUE,1,FALSE,0,FALSE,0.316666667,0.483333333
"3782","Used",1737,2016,16,"other","Harley-Davidson","Standard",100,3,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"5225","Used",4639.04,2007,24245,"blue","Harley-Davidson","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1997","Used",8170.1,2013,147,"black","BMW","Standard",100,92,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4094","Used",8794.9,2013,0,"white","Honda","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4921","New",9784.5,2017,7,"red","Ducati","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1114","Used",3891,2003,0,"other","Harley-Davidson","Touring",100,638,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"3430","Used",4780.74,2009,18517,"other","Honda","Gasoline",100,501,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"660","Used",8013.59,2003,13800,"red","Harley-Davidson","Cruiser",100,195,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,1,1
"1403","Used",8354.87,2015,1000,"black","Indian","Cruiser",100,168,"other",TRUE,TRUE,1,TRUE,0,TRUE,-0.027777778,0.277777778
"2026","Used",1940.3,2014,25,"blue","Yamaha","Off-Road",9.7,5606,"Private Seller",FALSE,TRUE,1,FALSE,0,FALSE,0.468181818,0.602272727
"71","Used",4680.15,2006,3964,"black","Harley-Davidson","Cruiser",100,180,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2006","New",5551.28,2017,0,"blue","Yamaha","Off-Road",9.2,5605,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4571","Used",7611.4,2014,3464,"other","Harley-Davidson","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1785","Used",2744.07,2010,46308,"grey","BMW","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"2528","Used",7218.49,2013,5603,"red","Harley-Davidson","Cruiser",100,1342,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3148","Used",275,2017,0,"other","Triumph","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"2587","Used",3962.26,2016,480,"red","Ducati","Naked",100,473,"Private Seller",TRUE,TRUE,0,FALSE,0,TRUE,0,0
"976","Used",32787.64,2009,5628,"yellow","Honda","Standard",100,1,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3510","Used",15303.35,2013,6342,"black","Harley-Davidson","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4169","Used",8118.56,2006,50728,"black","Harley-Davidson","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"566","Used",10216.96,2013,38278,"red","Harley-Davidson","Cruiser",100,297819,"other",FALSE,TRUE,1,TRUE,0,TRUE,0.9,0.875
"3798","Used",8155.33,2011,3486,"white","Honda","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2153","Used",2401.79,1998,35955,"black","Other","Sport Bike",100,460,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,-0.05,0.525
"4306","Used",24199.47,2016,1175,"white","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"3393","Used",2226.87,2010,999999,"blue","Yamaha","Off-Road",100,70,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,1,1
"4105","Used",7807.33,2008,11585,"black","Kawasaki","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2892","Used",4416.51,2007,16500,"red","Ducati","Naked",100,11,"Private Seller",FALSE,TRUE,1,FALSE,0,FALSE,1,1
"2770","Used",11548,2015,20,"black","Other","Chopper",100,45,"Owner",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4136","Used",13674.55,2015,1136,"black","Kawasaki","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"122","Used",7639.49,2014,233,"other","Harley-Davidson","Standard",100,979,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2494","Used",3618.47,2005,17200,"white","Honda","Touring",100,6,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3836","Used",6496.62,2011,8330,"other","Ducati","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3629","Used",11753.85,2005,17594,"other","Harley-Davidson","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2495","Used",5557.85,2012,1420,"black","Other","Sport Bike",100,211,"Private Seller",FALSE,TRUE,1,FALSE,0,FALSE,1,1
"1278","Used",16169.06,2015,3513,"other","Harley-Davidson","Cruiser",100,3127,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"369","Used",15488.74,2005,45543,"grey","Harley-Davidson","Cruiser",96,210,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"519","Used",27588.96,2013,4600,"black","Harley-Davidson","Cruiser",100,432,"Private Seller",FALSE,TRUE,1,FALSE,0,FALSE,0.136363636,0.454545455
"1650","New",10821.68,2016,1,"blue","Honda","Cruiser",100,35,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"3460","Used",3677.33,2008,19101,"red","Kawasaki","Gasoline",100,161,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2121","Used",2272.83,1993,20276,"white","Other","Sport Bike",100,273,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"4769","Used",14087.82,2016,1350,"blue","Harley-Davidson","Gasoline",50,397,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1530","Used",5938.74,2007,9187,"black","Yamaha","Cruiser",100,120,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1732","Used",4621.81,2008,33500,"black","Kawasaki","Sport Bike",7.2,271,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2492","Used",4927.86,2002,27274,"blue","Suzuki","Cruiser",100,50,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"439","Used",9262.3,2007,871,"red","Harley-Davidson","Touring",100,194,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4565","Used",7770.64,2006,69706,"black","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"1764","Used",11479.65,2014,623,"black","Indian","Cruiser",100,85,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"4376","Used",11994.77,2009,6720,"black","Harley-Davidson","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1803","Used",10124.45,2013,17245,"blue","BMW","Other",100,726,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1736","Used",3338.03,2013,600,"red","Honda","Sport Bike",100,544,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"2477","New",6318.4,2017,0,"other","Kawasaki","Off-Road",100,689,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4648","Used",10336.04,2011,15466,"red","Yamaha","Sport Bike",100,163,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4502","Used",10720.67,2016,5161,"black","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"5259","Used",4901.64,2016,1389,"blue","Suzuki","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4048","New",23098.68,2017,1,"other","Other","Naked",100,2268,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"5000","New",14575,2017,0,"green","Triumph","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2257","Used",764.48,2005,28345,"black","Suzuki","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"3709","New",15097.1,2015,1,"red","Yamaha","Sport Bike",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2076","Used",21014.55,2015,1223,"grey","Harley-Davidson","Gasoline",100,4,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"1052","Used",13328.9,2013,6065,"red","Harley-Davidson","Touring",2.3,196,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3698","Used",28939.3,2016,929,"black","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"1273","Used",11847.26,2001,64500,"red","Honda","Trike",100,107,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1242","Used",16169.06,2015,3513,"other","Harley-Davidson","Cruiser",100,3127,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"306","Used",9802.92,2012,6051,"black","Harley-Davidson","Cruiser",100,583,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3336","Used",20571.95,2014,7225,"yellow","Can-Am","Touring",100,179,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4549","Used",6278.8,2012,8181,"red","Yamaha","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4044","New",18477.68,2016,0,"red","Can-Am","Sport Bike",100,1354,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"4138","Used",8913.4,2013,17151,"other","Honda","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2357","Used",12.06,2002,5620,"black","Yamaha","Cruiser",100,22,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"2123","Used",7034.41,2006,11600,"black","Honda","Sport Bike",100,85,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4206","Used",7590.69,2009,10107,"orange","Suzuki","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3134","New",27320.04,2017,36,"green","Ural","Dual-Purpose",100,274,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"3395","Used",16381.36,2016,43235,"black","Harley-Davidson","Gasoline",100,4,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1827","New",10556.36,2016,0,"grey","Honda","Cruiser",100,903,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"1398","Used",4707.22,2002,71368,"other","Honda","Touring",100,135,"Private Seller",TRUE,TRUE,2,FALSE,0,FALSE,0.353333333,0.81
